Target,Average Shift,SD,SE,CV,run
p-GSK3b_ch2,351.362915,17.686901311312035,8.843450655656017,5.033798547382849,XP-001f
p-p70S6K_ch1,240.849065,22.218617797923994,11.109308898961997,9.225121051611303,XP-001f
p-p70S6K_ch2,215.01218125,25.701664629317424,12.850832314658712,11.95358536427918,XP-001f
p-S6_235_ch1,175.300975,20.96568657749531,10.482843288747654,11.959823142737973,XP-001f
p-S6_235_ch2,116.0534725,8.49667781731729,4.248338908658645,7.3213473360887935,XP-001f
p-Rb_780_ch1,201.396005,45.58728480357763,22.793642401788816,22.635645033563417,XP-001f
p-Rb_780_ch2,199.8578425,38.428204526080734,19.214102263040367,19.227769120984448,XP-001f
p-Akt_308_ch1,119.96386749999999,10.263248866372278,5.131624433186139,8.555283420128381,XP-001f
p-Akt_308_ch2,115.2756875,6.144231159775672,3.072115579887836,5.330032110869581,XP-001f
p-S6_240_ch1,264.8494325,36.3309007713685,18.16545038568425,13.717567913372253,XP-001f
p-S6_240_ch2,197.13177,26.599586551352015,13.299793275676008,13.493302754473325,XP-001f
p-Rb_807_ch1,195.657200075,13.466540694072028,6.733270347036014,6.882721764857101,XP-001f
p-Rb_807_ch2,95.74505450000001,31.710071030870665,15.855035515435333,33.11927827130817,XP-001f
p-mTOR_ch1,122.55890416666666,3.684151737731943,2.127045997514965,3.00602535799594,XP-001f
p-mTOR_ch2,111.08773083333334,8.865931537347508,5.118747959704377,7.981017769324322,XP-001f
p-MAPK_ch1,189.278375,18.21148540298012,9.10574270149006,9.621535161098102,XP-001f
p-MAPK_ch2,120.52618475,31.227649886069205,15.613824943034603,25.909432005039225,XP-001f
p-Akt_473_ch1,118.0625225,29.027884731355,14.5139423656775,24.586874917359996,XP-001f
p-Akt_473_ch2,110.5934025,18.363822294749657,9.181911147374828,16.604808134689282,XP-001f
p-p53_ch1,125.11561499999999,15.392685686785077,7.6963428433925385,12.302769471888125,XP-001f
p-p53_ch2,143.399025,7.120162297950696,3.560081148975348,4.965279434745596,XP-001f
p-Src_ch1,262.6213525,9.409555621864737,4.704777810932368,3.582936243489469,XP-001f
p-Src_ch2,176.513445,23.29941763420763,11.649708817103814,13.199797689183185,XP-001f
hydroxy-HIF_ch1,197.8006625,25.64793245782917,12.823966228914585,12.966555386450828,XP-001f
thermal,-0.18181375000000255,0.7848395587223026,0.3924197793611513,-431.67227930906853,XP-001g
p-c-Abl_ch1,315.69672,33.530343528382865,16.765171764191432,10.621061735574212,XP-001g
p-c-Abl_ch2,155.25814,14.157057769029318,7.078528884514659,9.118399698095905,XP-001g
hydroxy-HIF_ch2,191.12778325,19.27577543913023,9.637887719565114,10.08528174782262,XP-001g
p-PDK1_ch1,1879.7229100000002,335.6939614746891,167.84698073734455,17.85869394307106,XP-001g
p-PDK1_ch2,440.51028,92.3156161697232,46.1578080848616,20.95651801127619,XP-001g
p-GSK3b_ch1,1312.42621,110.76612016898494,55.38306008449247,8.439797934924275,XP-001g
p-GSK3b_ch2,615.5540975,32.600321188048014,16.300160594024007,5.296093604193417,XP-001g
p-p70S6K_ch1,612.158563125,60.63406880455689,30.317034402278445,9.904961305291042,XP-001g
p-p70S6K_ch2,250.6433775,32.66362844026823,16.331814220134117,13.03191361609713,XP-001g
p-S6_235_ch1,822.9076,91.57209930939212,45.78604965469606,11.127871380625495,XP-001g
p-S6_235_ch2,155.31068499999998,24.04930623446618,12.02465311723309,15.484643722011903,XP-001g
p-Rb_780_ch1,392.678175,52.26204321254574,26.13102160627287,13.30912857903186,XP-001g
p-Rb_780_ch2,161.77554999999998,16.636252942155167,8.318126471077584,10.283539720405939,XP-001g
p-Akt_308_ch1,188.4821425,26.62270927536663,13.311354637683316,14.124791305025955,XP-001g
p-Akt_308_ch2,106.79780999999998,11.285126135917443,5.642563067958721,10.566814184595588,XP-001g
p-S6_240_ch1,964.7105250000002,92.08158906183877,46.040794530919385,9.544996833307977,XP-001g
p-S6_240_ch2,208.79386250000002,30.29417181603022,15.14708590801511,14.509129460656546,XP-001g
p-Rb_807_ch1,385.86047499999995,46.86954843723159,23.434774218615797,12.146760674886849,XP-001g
p-Rb_807_ch2,110.361056,28.721703356784925,14.360851678392462,26.02521613854884,XP-001g
p-mTOR_ch1,210.6970475,21.6610943731434,10.8305471865717,10.280682444372363,XP-001g
p-mTOR_ch2,109.59793499999999,5.313713040533271,2.6568565202666354,4.848369670955271,XP-001g
p-MAPK_ch1,328.0500875,79.23615736592245,39.618078682961226,24.153676644247945,XP-001g
p-MAPK_ch2,101.72606675,21.0574213955677,10.52871069778385,20.700123447530917,XP-001g
p-Akt_473_ch1,198.0155125,42.46032529423624,21.23016264711812,21.4429287676319,XP-001g
p-Akt_473_ch2,111.718027775,24.87231517061929,12.436157585309646,22.263474987861503,XP-001g
p-p53_ch1,246.9438625,26.057436565531376,13.028718282765688,10.551967682748696,XP-001g
p-p53_ch2,143.6430125,29.720372216345,14.8601861081725,20.69044062713806,XP-001g
p-Src_ch1,584.497535,48.88378430341188,24.44189215170594,8.36338587867815,XP-001g
p-Src_ch2,191.44918,13.399098254044313,6.6995491270221565,6.998775473493442,XP-001g
hydroxy-HIF_ch1,396.7686425,80.87035430235085,40.435177151175424,20.382244371126394,XP-001g
thermal,-0.01286874999999732,0.4484409969201627,0.22422049846008135,-3484.728485052986,XPP-002a
p-c-Abl_ch1,512.357825,52.488216556453494,26.244108278226747,10.2444451895418,XPP-002a
p-c-Abl_ch2,233.753735,45.69087922384389,22.845439611921947,19.54658787541679,XPP-002a
hydroxy-HIF_ch2,190.84988,33.10335568346811,16.551677841734055,17.345232642256892,XPP-002a
p-PDK1_ch1,1117.8656849999998,45.45154650382284,22.72577325191142,4.065921971996381,XPP-002a
p-PDK1_ch2,671.0510925000001,200.71228985282767,100.35614492641383,29.910135322941546,XPP-002a
p-GSK3b_ch1,1895.1090599999998,81.24214243855619,40.62107121927809,4.286937578070373,XPP-002a
p-GSK3b_ch2,2130.132835,110.72125978249387,55.36062989124694,5.197857052069425,XPP-002a
p-p70S6K_ch1,1071.75855,35.63811345027765,17.819056725138825,3.3251998269831997,XPP-002a
p-p70S6K_ch2,351.72083250000003,72.99319571847701,36.496597859238506,20.753162444103168,XPP-002a
p-S6_235_ch1,1540.5972875,128.41827439333747,64.20913719666873,8.335616026023768,XPP-002a
p-S6_235_ch2,220.72201250000003,27.36439289051498,13.68219644525749,12.397672792384029,XPP-002a
p-Rb_780_ch1,586.9383375,76.55759286303676,38.27879643151838,13.043549547150985,XPP-002a
p-Rb_780_ch2,204.69277250000002,25.413522150956066,12.706761075478033,12.415446740287845,XPP-002a
p-Akt_308_ch1,266.61777,42.25349382814505,21.126746914072523,15.847966108239914,XPP-002a
p-Akt_308_ch2,88.65822,23.6230380756475,11.81151903782375,26.645062438257277,XPP-002a
p-S6_240_ch1,2531.7843791666664,103.52341540397217,59.769271750912786,4.088950712226401,XPP-002a
p-S6_240_ch2,613.0872575000001,28.422314136350057,14.211157068175028,4.635932942440914,XPP-002a
p-Rb_807_ch1,515.45307,54.17639648530674,27.08819824265337,10.510442101995189,XPP-002a
p-Rb_807_ch2,57.06338025,11.39671837386829,5.698359186934145,19.972035172010845,XPP-002a
p-mTOR_ch1,233.1714325,17.25118460768612,8.62559230384306,7.3984983592216516,XPP-002a
p-mTOR_ch2,79.5892175,4.60405611897723,2.302028059488615,5.7847736962324445,XPP-002a
p-MAPK_ch1,491.34401875000003,60.954625393030426,30.477312696515213,12.405691952473864,XPP-002a
p-MAPK_ch2,52.935395500000006,33.87472801829007,16.937364009145035,63.99258510931512,XPP-002a
p-Akt_473_ch1,252.10002250000002,23.884398927883687,11.942199463941844,9.474175643075828,XPP-002a
p-Akt_473_ch2,85.2067775,23.534700237279957,11.767350118639978,27.62069042838753,XPP-002a
p-p53_ch1,313.982125,10.966223464528097,5.483111732264049,3.492626678836605,XPP-002a
p-p53_ch2,115.7236525,6.5195233000753134,3.2597616500376567,5.633699904239813,XPP-002a
p-Src_ch1,950.8345350000001,56.720351861648076,28.360175930824038,5.9653230687133245,XPP-002a
p-Src_ch2,181.2519125,36.383262837274835,18.191631418637417,20.073312515957497,XPP-002a
hydroxy-HIF_ch1,640.3761125,54.39431241376702,27.19715620688351,8.494119526322434,XPP-002a
thermal,0.14896624999999908,0.24996529116142685,0.12498264558071343,167.7999487544517,XPP-002b
p-c-Abl_ch1,463.15241,38.035047881331785,19.017523940665892,8.212209860104537,XPP-002b
p-c-Abl_ch2,300.2971675,38.607354591861,19.3036772959305,12.856383199771937,XPP-002b
hydroxy-HIF_ch2,276.62978999999996,22.721766034458916,11.360883017229458,8.213781326464847,XPP-002b
p-PDK1_ch1,1011.4159175,126.41032543739918,63.20516271869959,12.498352384037814,XPP-002b
p-PDK1_ch2,721.6461275,193.48032462910166,96.74016231455083,26.810969706076843,XPP-002b
p-GSK3b_ch1,1555.1320925,402.39371948519124,201.19685974259562,25.87521159301079,XPP-002b
p-GSK3b_ch2,1730.0150174999999,242.7747913547915,121.38739567739574,14.033103117545135,XPP-002b
p-p70S6K_ch1,1232.72446,79.43870983436057,39.71935491718028,6.444157831861352,XPP-002b
